mention_id,concept_expression,explain_text,expectation
73653_1_1_1_2_0_7,Vùng DMZ ( DMZ - DeMilitarized Zone ),"một vùng mạng trung_lập giữa mạng nội_bộ và mạng internet , chứa các thông_tin cho phép người dùng từ internet truy_xuất vào mạng nội_bộ và chấp_nhận các rủi_ro tấn_công từ internet .",0.874
26724_1_1_1_3_0_10,Cháy lớn,đám cháy có diện_tích từ 500 m2 trở lên và gây thiệt_hại tài_sản trên 03 ( ba ) tỷ đồng .,0.862
118062_1_1_1_3_0_4,Tai_nạn giao_thông_đường_sắt,"việc phương_tiện giao_thông_đường_sắt xảy ra đâm nhau , trật bánh , đổ tàu , đâm , va vào người , phương_tiện giao_thông khác và ngược_lại hoặc phương_tiện giao_thông_đường_sắt đang hoạt_động đâm , va vào chướng_ngại_vật gây thiệt_hại cho tính_mạng , sức_khỏe của con_người hoặc gây thiệt_hại về tài_sản .",0.397
123969_1_1_1_3_0_6,Bảo_hộ lao_động,"hệ_thống các giải_pháp về pháp_luật , khoa_học , kỹ_thuật , kinh_tế - xã_hội nhằm bảo_đảm an_toàn và sức_khỏe cho con_người trong quá_trình lao_động ;",0.877
64561_1_1_1_3_0_36,Quốc_lộ,"đường nối_liền thủ_đô Hà_Nội với trung_tâm hành_chính cấp tỉnh ; đường nối_liền trung_tâm hành_chính cấp tỉnh từ ba địa_phương trở lên ; đường nối_liền từ cảng biển quốc_tế , cảng hàng_không quốc_tế đến các cửa_khẩu quốc_tế , cửa_khẩu chính trên đường_bộ ; đường có vị_trí đặc_biệt quan_trọng đối_với sự phát_triển kinh_tế - xã_hội của vùng , khu_vực .",0.881
16718_1_1_1_3_0_8,Đầu_tư gián_tiếp,"hình_thức đầu_tư_thông_qua việc mua cổ_phần , cổ_phiếu , trái_phiếu , các giấy_tờ có_giá khác , quỹ đầu_tư chứng_khoán và thông_qua các định_chế_tài_chính trung_gian khác mà nhà đầu_tư không trực_tiếp tham_gia quản_lý hoạt_động đầu_tư .",0.844
106144_1_1_1_3_0_7,Cáp thuê_bao,"đoạn cáp viễn_thông từ hộp cáp , hố cáp , bộ chia tín_hiệu truyền_hình đến thiết_bị đầu_cuối đặt trong nhà thuê_bao .",0.932
54347_1_1_1_2_0_12,Bản_chính văn_bản,"bản hoàn_chỉnh về nội_dung , thể_thức văn_bản và được cơ_quan , tổ_chức ban_hành .",0.447
116178_1_1_1_2_0_8,Cơ_sở dữ_liệu,"tập_hợp các dữ_liệu được sắp sếp , tổ_chức để truy_cập , khai_thác , quản_lý và cập_nhật thông_qua phương_tiện điện_tử .",0.874
54753_1_1_1_3_0_11,Văn_bản đến,"tài_liệu của cơ_quan , đơn_vị và cá_nhân khác gửi đến .",0.828
101247_1_1_1_3_0_12,Người quảng_cáo,"tổ_chức , cá_nhân có yêu_cầu quảng_cáo sản_phẩm , hàng_hoá , dịch_vụ của mình hoặc bản_thân tổ_chức , cá_nhân đó .",0.849
19464_1_1_1_3_0_24,Danh_mục các bệnh phải công_bố dịch,"danh_mục các bệnh truyền_nhiễm nguy_hiểm của động_vật , gây thiệt_hại lớn về kinh_tế hoặc có khả_năng lây_lan sang người , bắt_buộc phải công_bố khi có dịch .",0.843
95652_1_1_1_3_0_3,Đầu_tư gián_tiếp ra nước_ngoài,"hoạt_động đầu_tư ra nước_ngoài dưới hình_thức mua , bán_chứng_khoán , các giấy_tờ có_giá khác hoặc đầu_tư_thông_qua các quỹ đầu_tư chứng_khoán , các định_chế_tài_chính trung_gian khác ở nước_ngoài .",0.805
47243_1_1_1_3_0_6,Cơ_sở kinh_doanh sữa chế_biến,"cơ_sở thực_hiện các hoạt_động giới_thiệu , bảo_quản , vận_chuyển , mua , bán các sản_phẩm sữa chế_biến .",0.806
118230_1_1_1_2_0_29,Thời_hạn cho vay,khoảng thời_gian được tính từ ngày tiếp_theo của ngày tổ_chức_tín_dụng giải_ngân vốn vay cho khách_hàng cho đến thời_điểm khách_hàng phải trả hết nợ gốc và lãi tiền vay theo thỏa_thuận của tổ_chức_tín_dụng và khách_hàng .,0.405
101462_1_1_1_4_0_38,Hoạt_động lưu_trữ,"hoạt_động thu_thập , chỉnh_lý , xác_định_giá_trị , bảo_quản , thống_kê , sử_dụng tài_liệu lưu_trữ .",0.887
78914_1_1_1_3_0_7,TCVN 617497,tên viết tắt của Tiêu_chuẩn Việt_Nam 6174:1997 – vật_liệu_nổ_công_nghiệp .,0.624
70718_1_1_1_3_0_105,Phó_Chủ_tịch hội_đồng,Lãnh_đạo Cơ_quan tham_mưu về an_toàn_giao_thông của Tổng_cục Đường_bộ Việt_Nam ;,0.459
