mention_id,concept_expression,explain_text,expectation
9199_1_1_1_3_0_11,Nhân_viên bức_xạ,người trực_tiếp làm_việc với nguồn bức_xạ ;,0.851
84171_1_1_1_4_0_3,Cơ_quan hành_chính cấp tỉnh,"Văn_phòng , các sở , ban , ngành và cơ_quan khác có chức_năng tham_mưu , giúp Ủy_ban nhân_dân tỉnh quản_lý Nhà_nước về ngành , lĩnh_vực công_tác .",0.887
111063_1_1_1_4_0_24,Hệ_thống thoát_nước riêng,hệ_thống_thoát_nước mưa và nước_thải riêng_biệt ;,0.879
28111_1_1_1_2_0_34,Vốn lưu_động,hiệu_số giữa tài_sản ngắn_hạn và nợ ngắn_hạn .,0.42
73813_1_1_1_3_0_6,Phản_ánh,"việc cá_nhân , tổ_chức có ý_kiến với cơ_quan hành_chính nhà_nước về những vấn_đề liên_quan đến quy_định hành_chính , bao_gồm : những vướng_mắc cụ_thể trong thực_hiện ; sự không hợp_pháp , không hợp_lý , không đồng_bộ , không thống_nhất với hệ_thống pháp_luật Việt_Nam hoặc điều_ước quốc_tế mà Việt_Nam ký_kết hoặc gia_nhập và những vấn_đề khác .",0.508
78034_1_1_1_2_0_10,Trò_chơi G1,trò_chơi_điện_tử có sự tương_tác giữa nhiều người chơi với nhau đồng_thời thông_qua hệ_thống máy_chủ trò_chơi của doanh_nghiệp .,0.872
7004_1_1_1_2_0_4,Ngoại_tệ quy_định tại Quyết_định này,các ngoại_tệ tự_do chuyển_đổi .,0.769
19209_1_1_1_3_0_21,Công_trình khai_thác quy_mô lớn,công_trình có lưu_lượng khai_thác lớn hơn 5.000 m3 / ngày_đêm .,0.425
38128_1_1_1_3_0_10,"Bản in gốc , khuôn đúc gốc","bản in , khuôn đúc của mẫu in , đúc chuẩn đơn hình đã được Thống_đốc Ngân_hàng Nhà_nước ( gọi tắt là Thống_đốc ) phê_duyệt và nghiệm_thu .",0.83
76177_1_1_1_5_0_4,Chứng_nhận chất_lượng công_trình,"hoạt_động kiểm_tra , chứng_nhận đủ điều_kiện đảm_bảo an_toàn chịu lực ; kiểm_tra , chứng_nhận sự phù_hợp về chất_lượng công_trình_xây_dựng .",0.872
117339_1_1_1_3_0_16,Thanh_tra lại,"việc xem_xét , đánh_giá , xử_lý kết_luận thanh_tra khi phát_hiện có dấu_hiệu vi_phạm pháp_luật trong quá_trình thanh_tra , ra kết_luận thanh_tra .",0.85
27704_1_1_1_4_0_12,Phí bảo_hiểm_tiền_gửi,khoản tiền mà tổ_chức tham_gia_bảo_hiểm_tiền_gửi phải nộp cho tổ_chức bảo_hiểm_tiền_gửi để bảo_hiểm cho tiền_gửi của người được bảo_hiểm_tiền_gửi tại tổ_chức tham_gia_bảo_hiểm_tiền_gửi .,0.873
45990_1_1_1_3_0_42,Quyết_định về lao_động,"quyết_định bằng văn_bản của người sử_dụng lao_động được áp_dụng đối_với người lao_động , người tập nghề , người thử việc trong quan_hệ lao_động và quan_hệ liên_quan trực_tiếp đến quan_hệ lao_động .",0.835
105022_1_1_1_2_0_5,"Hè ( hay vỉa_hè , hè phố )",bộ_phận của đường đô_thị phục_vụ chủ_yếu cho ngườii đi bộ và kết_hợp là nơi bố_trí hệ_thống hạ_tầng kỹ_thuật đô_thị dọc tuyến .,0.484
56559_1_1_1_3_0_15,Đất rừng đặc_dụng,"đất để sử_dụng vào mục_đích nghiên_cứu , thí_nghiệm khoa_học , bảo_tồn thiên_nhiên và đa_dạng sinh_học , vườn rừng quốc_gia , bảo_vệ di_tích lịch_sử , văn_hóa , danh_lam thắng_cảnh , bảo_vệ môi_trường sinh_thái theo quy_định của pháp_luật về bảo_vệ và phát_triển rừng .",0.882
11747_1_1_1_4_0_20,Nhân_viên cơ_quan đại_diện,"người đảm_nhận công_việc hành_chính , kỹ_thuật hoặc phục_vụ .",0.493
26046_1_1_1_2_0_26,Hai bên,Bên bán và Bên mua trong hợp_đồng mua_bán điện .,0.412
30467_1_1_1_3_0_6,Hoãn_đình_công,"việc Chủ_tịch Ủy_ban nhân_dân cấp tỉnh ra quyết_định chuyển thời_điểm bắt_đầu thực_hiện cuộc đình_công mà Ban_chấp_hành công_đoàn ấn_định trong quyết_định đình_công gửi người sử_dụng lao_động , cơ_quan quản_lý nhà_nước về lao_động cấp tỉnh và công_đoàn cấp tỉnh sang một thời_điểm khác .",0.888
101462_1_1_1_4_0_26,Hồ_sơ nguyên_tắc,"tập_hợp bản_sao các văn_bản quy_phạm pháp_luật , văn_bản hướng_dẫn về từng mặt công_tác_nghiệp_vụ nhất_định , dùng làm căn_cứ pháp_lý , tra_cứu khi giải_quyết công_việc của cơ_quan , tổ_chức .",0.551
46730_1_1_1_2_0_22,Liên_lạc điểm-điểm,tuyến liên_lạc giữa hai đài vô_tuyến điện đặt tại hai điểm cố_định xác_định .,0.882
70304_1_1_1_3_0_61,Tiêu_chí sai hỏng đơn,tiêu_chí ( hoặc yêu_cầu ) được áp_dụng cho một hệ_thống nhằm bảo_đảm rằng hệ_thống đó vẫn có khả_năng thực_hiện chức_năng khi có sai hỏng đơn .,0.442
59530_1_1_1_3_0_10,Thủy_sản sống,"các loài động_vật , thực_vật thuỷ_sản còn có khả_năng sinh_trưởng và phát_triển .",0.886
60269_1_1_1_3_0_21,"Đất sản_xuất , kinh_doanh phi nông_nghiệp","đất sử_dụng vào mục_đích sản_xuất , kinh_doanh trong công_nghiệp và dịch_vụ ; bao_gồm đất khu công_nghiệp , đất cơ_sở sản_xuất , kinh_doanh ; đất cho hoạt_động khoáng_sản , đất sản_xuất vật_liệu xây_dựng , gốm sứ .",0.873
