mention_id,concept_expression,explain_text,expectation
121449_1_3_3_4_0_9,Tổ_trưởng,sát_hạch_viên và là người của Cơ_quan quản_lý sát_hạch thuộc Sở Giao_thông vận_tải hoặc Tổng_cục Đường_bộ Việt_Nam ; khi thực_hiện nhiệm_vụ tại kỳ sát_hạch lái_xe ô_tô phải có thẻ sát_hạch_viên lái_xe ô_tô ;,0.848
76450_1_1_1_3_0_13,Bảo_dưỡng thường_xuyên,các thao_tác kỹ_thuật được tiến_hành thường_xuyên nhằm phòng_ngừa và khắc_phục kịp_thời những hư_hỏng nhỏ của các bộ_phận công_trình và thiết_bị .,0.876
7513_1_1_1_1_0_1,Uỷ_ban Dân_tộc và Miền núi,"cơ_quan của Chính_phủ thực_hiện chức_năng quản_lý Nhà_nước về lĩnh_vực công_tác dân_tộc và miền núi trong phạm_vi cả nước , đồng_thời là cơ_quan tham_mưu cho Trung_ương Đảng về chủ_trương , chính_sách đối_với dân_tộc_thiểu_số và miền núi .",0.841
113152_1_1_1_1_0_13,Tổng_số dự_án có thu_hồi_đất,"79 dự_án với diện_tích đất thu_hồi 69,29 ha ( Biểu 03 kèm theo ) .",0.832
27404_1_1_1_3_0_22,Ngày_công_bố thông_tin,"ngày thông_tin xuất_hiện trên phương_tiện công_bố thông_tin ; ngày báo_cáo về việc công_bố thông_tin là ngày gửi fax , gửi dữ_liệu điện_tử ( qua email hoặc qua hệ_thống công_nghệ thông_tin tiếp_nhận báo_cáo ) , ngày UBCKNN , SGDCK nhận được thông_tin công_bố bằng văn_bản .",0.862
79828_1_1_1_1_0_12,Trong thời_hạn chậm nhất,"15 ngày sau thời_điểm kiểm_kê , các xí_nghiệp phải báo_cáo kết_quả ( có số_lượng và giá_trị ) , số chênh_lệch giá vật_tư , hàng_hoá kiểm_kê tồn_kho cho cơ_quan quản_lý cấp trên ( Bộ , Sở chủ_quản , Tổng_công_ty hoặc Liên_hiệp các xí_nghiệp ) , đồng gửi cho cơ_quan Tài_chính , Ngân_hàng cùng cấp .",0.804
106419_1_1_1_5_0_16,Áp_dụng mức hỗ_trợ như cán_bộ y_tế,"người địa_phương nói ở mục a.1 trên đây và được cộng thêm 0,3 hệ_số mức lương tối_thiểu tương_ứng với trình_độ đào_tạo hiện có .",0.812
25107_1_1_1_4_0_8,Bố_trí trong nội vùng dự_án,hình_thức bố_trí các hộ gia_đình trong phạm_vi một vùng dự_án quy_hoạch bố_trí dân_cư .,0.894
95417_1_1_1_1_0_97,Nước mưa,"loại nước_thải quy_ước sạch , được thu vào hệ_thống tuyến ống thoát qua các cửa hố_ga và được xả thẳng ra các kênh_rạch , sông_ngòi xung_quanh .",0.895
17111_1_1_1_1_0_53,Mã loại_hình doanh_nghiệp  01,"doanh_nghiệp tư_nhân , 02 là công_ty trách_nhiệm hữu_hạn có 2 thành_viên trở lên , 03 là công_ty cổ_phần , 04 là công_ty trách_nhiệm hữu_hạn một thành_viên , 05 là công_ty hợp danh , 06 là hợp_tác_xã , 07 là doanh_nghiệp liên_doanh , 08 là doanh_nghiệp 100 % vốn đầu_tư nước_ngoài , 09 là doanh_nghiệp nhà_nước .",0.842
95927_1_2_1_13_0_3,Phân_loại thống_kê quốc_gia,"phân_loại thống_kê áp_dụng chung cho nhiều ngành , lĩnh_vực trên phạm_vi cả nước .",0.859
85365_1_1_1_1_0_1,Trung_tâm Văn_thư - Lưu_trữ tỉnh Sơn_la,"đơn_vị sự_nghiệp trực_thuộc Văn_phòng UBND tỉnh Sơn_la , có chức_năng giúp UBND tỉnh và Văn_phòng UBND tỉnh thực_hiện quản_lý nhà_nước về công_tác Văn_thư - Lưu_trữ , quản_lý_tài_liệu lưu_trữ trong phạm_vi tỉnh Sơn_la .",0.825
30313_1_1_1_6_0_3,Hoạt_động chủ_yếu,điều hòa vốn và thực_hiện các hoạt_động ngân_hàng đối_với thành_viên là các quỹ tín_dụng nhân_dân .,0.818
9675_1_1_1_1_0_0,Điều 1 . - Hàng năm lấy ngày 1-4,""" Ngày truyền_thống ngành Thuỷ_sản "" ; bắt_đầu_từ năm 1995 , kỷ_niệm 35 năm ngày thành_lập ngành Thuỷ_sản .",0.81
10412_1_1_1_4_0_1,Tổ_chức kiểm_toán độc_lập,một doanh_nghiệp ( công_ty kiểm_toán hoặc văn_phòng kiểm_toán ) được thành_lập theo quy_định hiện_hành về thành_lập các loại doanh_nghiệp và các qui_định trong Quy_chế này .,0.842
75009_1_1_1_4_0_7,Chữ_ký số,"một dạng chữ_ký điện_tử an_toàn , bảo_đảm tính xác_thực của người hoặc tổ_chức có thẩm_quyền ký số đối_với văn_bản điện_tử và tính toàn_vẹn của nội_dung trên văn_bản điện_tử đó .",0.881
