mention_id,concept_expression,explain_text,expectation
76416_1_1_1_1_0_2,"Tổng_đội thanh_niên xung_phong tỉnh Kon_Tum do Ban Thường_vụ Tỉnh_Đoàn tổ_chức và quản_lý ,","đơn_vị sự_nghiệp có thu , có tư_cách pháp_nhân , có con_dấu và tài_khoản riêng .",0.839
26600_1_1_1_2_0_6,Cơ_sở thử_nghiệm,"các trạm thử , phòng_thí_nghiệm của tổ_chức , cá_nhân hoạt_động trong lĩnh_vực kiểm_tra , bảo_dưỡng , thử_nghiệm vật_liệu , thiết_bị được Cục Đăng_kiểm Việt_Nam đánh_giá , chứng_nhận hoặc chấp_nhận .",0.832
92478_1_5_3_10_0_5,Một_Ủy_viên Hội_đồng,đại_diện cấp_ủy cùng cấp với chủ sở_hữu ;,0.829
9283_1_1_1_1_0_38,Phạt vi_phạm hợp_đồng,việc bên vi_phạm hợp_đồng có nghĩa_vụ trả một khoản tiền phạt nhất_định nếu hợp_đồng có qui_định điều này .,0.82
4822_1_1_1_1_0_2,Bệnh lở mồng long_móng,"bệnh truyền_nhiễm lây_lan nhanh , mạnh gây ra bởi 7 túp virus : A ; 0 ; C , Asia1 ; SAT1 ; SAT2 ; SAT3 và nhiều biến_chủng của chúng .",0.849
111590_1_1_1_3_0_41,Người quản_lý của doanh_nghiệp kinh_doanh_dịch_vụ mua_bán nợ,"người quản_lý công_ty và người quản_lý doanh_nghiệp tư_nhân , bao_gồm chủ doanh_nghiệp tư_nhân , thành_viên hợp danh , Chủ_tịch Hội_đồng thành_viên , thành_viên Hội_đồng thành_viên , Chủ_tịch công_ty , Chủ_tịch Hội_đồng quản_trị , thành_viên Hội_đồng quản_trị , Giám_đốc hoặc Tổng_giám_đốc và cá_nhân giữ chức_danh quản_lý khác có thẩm_quyền nhân_danh công_ty ký_kết giao_dịch của công_ty theo quy_định tại Điều_lệ công_ty .",0.837
104779_1_4_1_1_0_16,"Chỉ_đạo bộ_phận chuyên_môn trực_thuộc kịp_thời xử_lý , cung_cấp thông_tin theo yêu_cầu có liên_quan về việc chứng_nhận quyền_sở_hữu tài_sản","cây lâu_năm , rừng trồng sản_xuất , là tài_sản_gắn_liền_với_đất do Sở Tài_nguyên và Môi_trường chuyển đến đúng thời_gian theo Quy_định này .",0.803
13421_1_1_1_3_0_18,Điểm giao_thông_tĩnh,"điểm dừng , đỗ xe trên đường_bộ ; bến_xe , bãi đỗ xe ; trạm thu phí giao_thông , trạm kiểm_tra tải_trọng xe , bến phà ; đường ngang giữa đường_bộ và đường_sắt .",0.839
71679_1_1_1_1_0_3,Gia_đình,"tế_bào của xã_hội , là một trong những nhân_tố quan_trọng quyết_định sự thành_công của sự_nghiệp công_nghiệp_hóa , hiện_đại_hóa đất_nước và xây_dựng chủ_nghĩa xã_hội , đầu_tư cho gia_đình là đầu_tư cho sự phát_triển bền_vững .",0.888
2169_1_1_1_3_0_3,Ba_Phó_Chủ_tịch,"Chủ_nhiệm hoặc Phó_Chủ_nhiệm Uỷ_ban Khoa_học và kỹ_thuật Nhà_nước , Uỷ_ban Khoa_học Xã_hội Việt_Nam và Viện_trưởng hoặc Phó_Viện_trưởng Viện Khoa_học Việt_Nam .",0.826
79190_1_1_1_2_0_0,Điều 2  Liên_minh hợp_tác_xã tỉnh Cà_Mau,"một tổ_chức kinh_tế - xã_hội do các HTX , Liên_hiệp HTX tự_nguyện cùng nhau thành_lập .",0.814
51038_1_1_1_3_0_6,"Cống , bể cáp","hệ_thống cống , ống , bể cáp phục_vụ_việc kéo_cáp thông_tin ngầm dưới mặt_đất .",0.864
71654_1_1_1_3_0_32,"Đầu_tư đẩy_mạnh phát_triển công_nghiệp , trọng_tâm","công_nghiệp chế_biến nông , lâm_sản và công_nghiệp khai_thác khoáng_sản .",0.826
78718_1_2_1_3_0_8,"Trưởng_phòng , thủ_trưởng đơn_vị tương_đương thuộc Vườn_Quốc_gia U_Minh_Hạ","người trực_tiếp phụ_trách điều_hành hoạt_động của phòng , đơn_vị tương_đương chịu trách_nhiệm trước Giám_đốc Vườn và trước pháp_luật về toàn_bộ hoạt_động của phòng , đơn_vị tương_đương do mình phụ_trách .",0.842
9856_1_1_1_1_0_7,Đối_tượng thu bảo_hiểm_xã_hội,"người sử_dụng lao_động và người lao_động ( kể_cả người lao_động được cử đi học , đi thực_tập , điều_dưỡng công_tác ở trong , ngoài nước vẫn thuộc danh_sách trả lương hoặc tiền công của cơ_quan và đơn_vị ) làm_việc trong các cơ_quan , đơn_vị , tổ_chức sau đây :",0.817
16304_1_1_1_1_0_26,Giá đất để xác_định_giá_trị quyền_sử_dụng_đất quy_định tại Điều 4 Nghị_định số 13/2006 / NĐ-CP,giá của loại đất đang sử_dụng ; loại đất đang sử_dụng được xác_định theo quy_định tại Điều 13 Luật Đất_đai năm 2003 .,0.811
54959_1_2_1_4_0_3,Chức_trách,"cán_bộ chuyên_trách lãnh_đạo Ủy_ban nhân_dân cấp xã , chịu trách_nhiệm lãnh_đạo , chỉ_đạo , điều_hành hoạt_động của Ủy_ban nhân_dân và hoạt_động quản_lý Nhà_nước đối_với các lĩnh_vực kinh_tế - xã_hội , an_ninh , quốc_phòng đã được phân_công , phân_cấp trên địa_bàn .",0.871
44316_1_1_1_3_0_11,Nhà mặt_đường ( hay còn gọi là nhà mặt_tiền ),nhà có cửa ra vào chính hoặc có cổng chính được mở ra_mặt tiền_đường .,0.832
18656_1_3_1_5_0_4,Thời_hạn ra quyết_định xử_phạt_vi_phạm_hành_chính,"10 ngày làm_việc , kể từ ngày lập biên_bản vi_phạm_hành_chính ; đối_với vụ_việc có nhiều tình_tiết phức_tạp thì thời_hạn ra quyết_định xử_phạt là 30 ngày .",0.816
59501_1_2_1_2_0_5,Các Phó_Chi_cục trường,"người giúp_việc cho Chi_cục_trưởng , do Chi_cục_trưởng phân_công đảm_nhiệm một sô mặt công_tác và chịu trách_nhiệm trước Chi_cục trưỏng và trước pháp_luật về thực_hiện các nhiệm_vụ được phân_công .",0.82
115938_1_1_1_1_0_9,Diện_tích,phần diện_tích đất chuyên trồng_lúa nước chuyển sang đất phi nông_nghiệp ghi cụ_thể trong quyết_định cho phép chuyển mục_đích sử_dụng đất từ đất chuyên trồng_lúa nước sang đất phi nông_nghiệp của cơ_quan có thẩm_quyền .,0.861
42142_1_3_1_3_0_7,Từ vòng đấu_giá thứ 2 trở đi giá khởi_điểm,giá trả cao nhất của vòng trước .,0.806
32399_1_1_1_3_0_4,Người lao_động nước_ngoài di_chuyển trong nội_bộ doanh_nghiệp,"nhà quản_lý , giám_đốc điều_hành , chuyên_gia và lao_động kỹ_thuật của một doanh_nghiệp nước_ngoài đã thành_lập hiện_diện thương_mại trên lãnh_thổ Việt_Nam , di_chuyển tạm_thời trong nội_bộ doanh_nghiệp sang hiện_diện thương_mại trên lãnh_thổ Việt_Nam và đã được doanh_nghiệp nước_ngoài tuyển_dụng trước đó ít_nhất 12 tháng .",0.804
15485_1_1_1_1_0_13,Tổ_chức cho người lao_động ở lại nước_ngoài trái_phép,thực_hiện một trong những hành_vi sau đây giúp cho người lao_động ở lại nước_ngoài ( ở lại nước tiếp_nhận lao_động theo hợp_đồng đi làm_việc ở nước_ngoài hoặc ở lại nước thứ ba ) trái với các quy_định của pháp_luật Việt_Nam :,0.865
