mention_id,concept_expression,explain_text,expectation
14832_1_1_1_5_0_8,Mã_số thuế,"một dãy số , chữ_cái hoặc ký_tự khác do cơ_quan quản_lý thuế cấp cho người nộp thuế dùng để quản_lý thuế .",0.878
30375_1_1_1_3_0_12,Cơ_sở giam_giữ,"trại_giam , trại tạm giam hoặc nơi giam_giữ khác trên lãnh_thổ nước Cộng_hòa xã_hội chủ_nghĩa Việt_Nam hoặc lãnh_thổ nước chuyển_giao ;",0.907
67431_1_2_1_2_0_43,Chữ_ký thứ nhất,chữ_ký của cá_nhân làm Chủ tài_khoản ( không đăng_ký chữ_ký người được ủy_quyền ký thay ) .,0.866
76204_1_1_1_4_0_4,Chi_cục Tiêu_chuẩn Đo_lường Chất_lượng,"tổ_chức trực_thuộc Sở Khoa_học và Công_nghệ , có chức_năng tham_mưu , giúp Giám_đốc Sở Khoa_học và Công_nghệ thực_hiện nhiệm_vụ quản_lý nhà_nước về lĩnh_vực tiêu_chuẩn , đo_lường , chất_lượng ; thực_thi nhiệm_vụ quản_lý nhà_nước và quản_lý các dịch_vụ công về lĩnh_vực tiêu_chuẩn đo_lường , chất_lượng trên địa_bàn tỉnh theo quy_định của pháp_luật ;",0.858
50255_1_1_1_1_0_9,Các chủ tàu cá,"ngư_dân , tổ_hợp_tác , hợp_tác_xã của tỉnh Quảng_Nam thực_hiện đóng_mới tàu cá có công_suất từ 90 CV trở lên hoặc thay máy cải hoán , nâng_cấp tàu cá đang sử_dụng có công_suất dưới 90 CV thành tàu cá có công_suất từ 90 CV trở lên trong những năm thực_hiện đề_án ( từ năm 2011 đến năm 2015 ) để tham_gia đánh_bắt hải_sản xa bờ bằng các nghề : câu mực khơi , chụp mực khơi , câu cá_ngừ đại_dương , lưới vây ngày , lưới vây đêm , lưới cản , lưới quét , câu rạn .",0.869
22870_1_1_1_5_0_5,Bảo_vệ an_toàn dầu_khí,"việc tiến_hành các biện_pháp phòng_ngừa , phát_hiện , ngăn_chặn , xử_lý các hành_vi vi_phạm_quy_định về phòng_chống cháy nổ , tai_nạn , sự_cố kỹ_thuật , nhằm bảo_đảm an_toàn cho người , công_trình , phương_tiện , thiết_bị và hoạt_động dầu_khí , bảo_vệ môi_trường sinh_thái .",0.897
125917_1_1_1_2_0_6,Đề_án khung ch_ư ơng trình PPP,"thuyết_minh tổng_thể chương_trình PPP do các đối_tác công , đối_tác tư và các bên liên_quan khác cùng nhau xây_dựng ;",0.855
70803_1_1_1_3_0_52,Nguyên_liệu thuốc thú_y,những chất có trong thành_phần của thuốc thú_y .,0.881
15732_1_3_1_6_0_4,Tập_thể,"tổ_chức ngừng hoạt_động , bị sáp_nhập , giải_thể hoặc phá_sản ;",0.865
40235_1_2_1_6_0_9,Kết_quả giám_định,"tiền thật , tiền thật này được trả lại tổ_chức , cá_nhân đề_nghị giám_định hoặc thu đổi và ghi Có cho ngân_hàng đề_nghị giám_định ;",0.854
46780_1_2_1_4_0_79,Chi_phí của Ngân_hàng,các khoản chi_phí phải_chi thực_tế phát_sinh trong kỳ liên_quan đến hoạt_động kinh_doanh .,0.855
38263_1_1_1_3_0_92,Nhà_máy_điện nhỏ,nhà_máy_điện có tổng công_suất đặt từ 30 MW trở xuống .,0.881
15013_1_2_1_1_0_11,Khu thuế_quan,khu_vực còn lại của KKTM Chu_Lai ngoài khu phi thuế_quan .,0.895
124607_1_1_1_7_0_9,Cấp trung_ương,"các Tổng_cục , Cục quản_lý chuyên_ngành theo phân_công , phân_cấp của Bộ Nông_nghiệp và Phát_triển nông_thôn .",0.882
23793_1_1_1_3_0_26,Kinh_doanh LPG,"việc thực_hiện liên_tục một , một_số hoặc tất_cả các hoạt_động trong chuỗi kinh_doanh LPG : sản_xuất , chế_biến , xuất_khẩu , nhập_khẩu , tồn chứa , nạp , phân_phối , tạm nhập tái_xuất , cho thuê kho , cảng , giao_nhận và vận_chuyển nhằm mục_đích sinh lời .",0.904
128764_1_1_1_3_0_18,Sửa_chữa định_kỳ công_trình đường_sắt,"sửa_chữa hư_hỏng hoặc cải_tạo , thay_thế bộ_phận công_trình , thiết_bị lắp_đặt vào công_trình bị hư_hỏng được thực_hiện định_kỳ theo quy_định của quy_trình bảo_trì và kế_hoạch bảo_trì được duyệt ;",0.887
85566_1_1_1_3_0_9,Người phụ_trách cơ_sở tín_ngưỡng,"tổ_chức , cá_nhân được chính_quyền , nhân_dân địa_phương , dòng tộc giao quản_lý cơ_sở tín_ngưỡng của cộng_đồng như : Ban quản_lý , Ban khánh_tiết Đình , Đền , từ đường ; vị thủ_từ , thủ nhang và các chức_danh tương_tự khác .",0.901
41135_1_2_1_5_0_7,Tổ_chức tư_vấn có nhu_cầu,"tổ_chức giám_định_tư_pháp xây_dựng theo vụ_việc tập_hợp thông_tin theo Phụ_lục 2 kèm theo Thông_tư này gửi về Bộ Xây_dựng ( Đối_với trường_hợp tổ_chức là đơn_vị sự_nghiệp công_lập hoặc doanh_nghiệp nhà_nước thuộc các Bộ , cơ_quan ngang Bộ hoặc gửi Uỷ_ban nhân_dân cấp tỉnh ( Đối_với trường_hợp các tổ_chức khác ) để được xem_xét công_bố theo quy_định ;",0.861
60975_1_1_1_3_0_10,Kiến_nghị,"việc cá_nhân , tổ_chức có phản_ánh với cơ_quan hành_chính Nhà_nước theo quy_định tại Khoản 3 Điều này và đề_xuất phương_án xử_lý hoặc có sáng_kiến ban_hành mới quy_định hành_chính liên_quan đến hoạt_động kinh_doanh , đời_sống nhân_dân .",0.895
20728_1_2_1_15_0_4,Chức_năng,nơi tổ_chức các trò vui_chơi giải_trí .,0.903
16679_1_1_1_3_0_24,Lâm_phần tuyển_chọn,"khu rừng tự_nhiên hoặc rừng trồng có chất_lượng trên mức trung_bình , được chọn để cung_cấp giống tạm_thời cho sản_xuất , nhưng chưa được tác_động bằng các biện_pháp kỹ_thuật lâm_sinh , hoặc chưa đủ diện_tích , hay chưa qua đánh_giá để công_nhận là rừng giống chuyển_hoá .",0.866
7916_1_1_1_6_0_9,Tổng_trạng_thái ngoại_tệ dư_thừa,tổng các trạng_thái ngoại_tệ dư_thừa của các ngoại_tệ có trạng_thái dư_thừa .,0.886
106491_1_4_2_1_0_2,Hệ_thống_hoá văn_bản_quy_phạm_pháp_luật,"việc định_kỳ_tập_hợp , sắp_xếp những văn_bản đã được rà_soát thành từng hệ_thống thống_nhất về nội_dung và hình_thức theo yêu_cầu sử_dụng của cơ_quan ban_hành_văn_bản , theo lĩnh_vực , theo ngành hoặc nhằm lập ra và công_bố các văn_bản_quy_phạm_pháp_luật của Hội_đồng nhân_dân , Ủy_ban nhân_dân đang còn hiệu_lực , đã hết hiệu_lực .",0.868
78682_1_1_1_2_0_5,Chất_thải rắn nguy_hại,chất_thải_rắn có tên trong Danh_mục các chất_thải_rắn nguy_hại do Bộ Tài_nguyên và Môi_trường ban_hành ;,0.886
122863_1_1_1_3_0_16,Cơ_quan giải_quyết bồi_thường,cơ_quan trực_tiếp_quản_lý người thi_hành công_vụ gây thiệt_hại hoặc Tòa_án có thẩm_quyền giải_quyết vụ án theo quy_định của pháp_luật về tố_tụng .,0.861
18131_1_2_6_2_0_3,Thế_chấp tàu_biển,việc chủ tàu dùng tàu_biển thuộc sở_hữu của mình để bảo_đảm thực_hiện nghĩa_vụ đối_với bên có quyền và không phải chuyển_giao tàu_biển đó cho bên nhận thế_chấp giữ .,0.878
120989_1_1_1_2_0_4,Đường đô_thị ( hay đường_phố ),"đường_bộ nằm trong phạm_vi nội_thành , nội_thị , được giới_hạn bởi chỉ_giới đường đỏ theo quy_hoạch được cấp có thẩm_quyền phê_duyệt .",0.905
42828_1_1_1_2_0_50,Chủ đầu_tư  hay “ chủ dự_án ODA,"các cơ_quan như được nêu tại mục f khoản 2 Điều này được giao trách_nhiệm trực_tiếp_quản_lý , sử_dụng nguồn vốn ODA và nguồn vốn đối_ứng để thực_hiện dự_án theo nội_dung đã được phê_duyệt và quản_lý , sử_dụng hoặc chuyển_giao cho các địa_phương , đơn_vị khác quản_lý , sử_dụng công_trình khi kết_thúc quá_trình đầu_tư .",0.861
1854_1_1_1_1_0_10,Các vụ án trọng_điểm,"các vụ án mà việc giải_quyết các vụ án đó được xác_định là quan_trọng , có điều_kiện làm nhanh và lãnh_đạo ba ngành có trách_nhiệm thống_nhất chỉ_đạo , ưu_tiên sử_dụng lực_lượng để điều_tra , truy_tố xét_xử trong thời_gian ngắn nhất bảo_đảm xử_lý nghiêm_minh , kịp_thời , chính_xác nhằm phục_vụ nhiệm_vụ chính_trị địa_phương và cả nước .",0.86
9120_1_1_1_2_0_7,Bảo_lãnh vay_vốn Ngân_hàng,"việc người thứ 3 ( pháp_nhân hoặc cá_nhân - gọi là bên bảo_lãnh ) cam_kết với bên cho vay ( bên nhận bảo_lãnh ) sẽ thực_hiện nghĩa_vụ trả nợ thay cho bên vay_vốn ( bên được bảo_lãnh ) nếu khi đến thời_hạn mà bên được bảo_lãnh không trả được toàn_bộ hay một phần nợ vay ( bao_gồm nợ gốc , lãi và tiền phạt quá hạn ) cho bên nhận bảo_lãnh .",0.852
98933_1_1_1_3_0_22,Chất_thải rắn sinh_hoạt,chất_thải rắn phát_sinh trong sinh_hoạt thường_ngày của con_người .,0.875
77507_1_1_1_1_0_179,Lợi_nhuận xí_nghiệp thương nghiệp,"nguồn thu_nhập bảo_đảm cho xí_nghiệp thương nghiệp trích_lập các quỹ của xí_nghiệp : quỹ khuyến_khích phát_triển kinh_doanh , quỹ phúc_lợi , quỹ khen_thưởng , và nộp một phần lợi_nhuận cho ngân_sách Nhà_nước .",0.853
32286_1_1_1_1_0_7,Tổ_trưởng,"người đại_diện cho nhân_dân và chính_quyền phường , thị_trấn để thực_hiện một_số nhiệm_vụ tại tổ , chịu sự quản_lý và chỉ_đạo của Ủy_ban nhân_dân phường , thị_trấn , sự lãnh_đạo của Cấp_ủy ở khu_phố .",0.87
123869_1_1_1_3_0_10,Cơ_quan được giao chuẩn_bị dự_án đầu_tư,"cơ_quan , đơn_vị thuộc Bộ Quốc_phòng được giao lập Báo_cáo nghiên_cứu tiền khả_thi hoặc Báo_cáo đề_xuất chủ_trương đầu_tư dự_án hoặc lập Báo_cáo nghiên_cứu_khả_thi dự_án .",0.861
104935_1_4_1_8_0_3,Chuyển_nhượng toàn_bộ dự_án,"việc chuyển_nhượng toàn_bộ quyền , nghĩa_vụ và lợi_ích hợp_pháp từ chủ đầu_tư cũ sang chủ đầu_tư mới thông_qua hợp_đồng_bằng văn_bản và phải được cơ_quan nhà_nước có thẩm_quyền cho phép bằng văn_bản .",0.87
24308_1_1_1_1_0_70,Hàng_hoá nhập_khẩu tương_tự,"những hàng_hoá mặc_dù không giống nhau về mọi phương_diện nhưng có các đặc_trưng cơ_bản giống nhau , bao_gồm :",0.897
22473_1_1_1_1_0_107,Riêng các dự_án ODA mà chủ dự_án,"các cơ_quan quản_lý nhà_nước , tổ_chức chính_trị , tổ_chức chính_trị - xã_hội , không kinh_doanh , khi nhượng bán hàng_hoá tại thị_trường Việt_Nam , chủ dự_án đề_nghị cơ_quan thuế cung_cấp hoá_đơn_lẻ để xuất cho đối_tượng mua hàng , đồng_thời gửi liên 3 của hoá_đơn cho cơ_quan thuế để theo_dõi việc sử_dụng hoá_đơn , trên hoá_đơn ghi đầy_đủ giá_trị hàng_hoá , thuế_suất thuế GTGT , số thuế GTGT .",0.854
68236_1_1_1_2_0_38,Khu_đô_thị,"khu_vực xây_dựng một hay nhiều khu chức_năng của đô_thị , được giới_hạn bởi các ranh_giới tự_nhiên , ranh_giới nhân_tạo hoặc các đường chính đô_thị .",0.892
17423_1_1_1_6_0_8,Bộ Tài_chính,"cơ_quan chủ_trì , phối_hợp với Bộ Kế_hoạch và Đầu_tư , Văn_phòng Chính_phủ cân_đối hạn_mức ngân_sách nhà_nước dành cho Website Chính_phủ là một đầu mục kinh_phí trong tổng dự_toán ngân_sách hàng năm của Văn_phòng Chính_phủ ; cân_đối ngân_sách cho Bộ , ngành , địa_phương bảo_đảm kinh_phí cho hoạt_động cung_cấp thông_tin đối_với Website Chính_phủ ; cung_cấp thường_xuyên thông_tin cho Website Chính_phủ về ngân_sách quốc_gia , báo_cáo tình_hình hoạt_động tài_chính_quốc_gia và các thông_tin , dữ_liệu liên_quan khác thuộc phạm_vi quản_lý nhà_nước của Bộ ( trừ những thông_tin và các văn_bản mật hoặc không được công_bố ) .",0.86
122447_1_2_1_4_0_3,Cơ_sở dữ_liệu giá_tính_thuế_tài_nguyên,"thông_tin liên_quan đến giá_tính_thuế_tài_nguyên do cơ_quan thuế_thu_thập , tổng_hợp , phân_loại .",0.868
21239_1_1_1_2_0_11,Nhà_đầu_tư,"các tổ_chức , doanh_nghiệp trong nước và nước_ngoài , cá_nhân là người Việt_Nam , người Việt_Nam định_cư ở nước_ngoài và người nước_ngoài có dự_án đầu_tư vào Khu_công_nghệ_cao .",0.903
127676_1_1_1_3_0_29,Cơ_quan kiểm_tra,"Cục Đăng_kiểm Việt_Nam , chịu trách_nhiệm tổ_chức thực_hiện việc kiểm_tra , chứng_nhận chất_lượng an_toàn_kỹ_thuật_và_bảo_vệ_môi_trường xe ô_tô nhập_khẩu theo quy_định tại Thông_tư này .",0.866
41146_1_1_1_1_0_25,Đồng_tiền trả nợ,đồng_tiền nhận nợ trong Hợp_đồng huy_động vốn .,0.852
30398_1_1_1_3_0_68,Thiếu công_suất,tình_huống khi tổng công_suất công_bố của tất_cả các Đơn_vị phát_điện nhỏ hơn nhu_cầu phụ_tải hệ_thống dự_báo trong một chu_kỳ giao_dịch .,0.86
75009_1_1_1_5_0_3,Phông_chữ tiếng Việt sử_dụng trong văn_bản điện_tử,bộ mã các ký_tự chữ Việt_Unicode theo tiêu_chuẩn TCVN 6909:2001 .,0.854
68238_1_1_1_2_0_24,Công_trình cống,"công_trình_thủy_lợi có nhiệm_vụ khống_chế mực nước và điều_tiết lưu_lượng phục_vụ yêu_cầu tưới , tiêu , ngăn mặn thoát lũ phục_vụ sản_xuất , dân_sinh , kinh_tế .",0.899
12078_1_1_1_2_0_16,Thời_điểm tính thuế GTGT,thời_điểm chuyển mục_đích sử_dụng .,0.852
37526_1_1_1_2_0_6,Bên mua,"Tập_đoàn Điện_lực Việt_Nam hoặc đơn_vị phân_phối điện có giấy_phép hoạt_động điện_lực trong lĩnh_vực phân_phối và bán_lẻ điện , có lưới_điện mà các nhà_máy thủy_điện nhỏ sẽ đấu nối để mua điện với Bên bán .",0.867
19468_1_1_1_3_0_21,Chức_sắc,"tín_đồ có chức_vụ , phẩm sắc trong tôn_giáo .",0.867
3823_1_3_1_2_0_1,Ban quản_lí hợp_tác_xã,cơ_quan quản_lí điều_hành mọi hoạt_động của hợp_tác_xã .,0.85
