mention_id,concept_expression,explain_text,expectation
63003_1_1_1_2_0_9,Vùng bảo hộ_vệ_sinh khu_vực lấy nước,"vùng phụ_cận khu_vực lấy nước từ nguồn nước được quy_định phải bảo_vệ để phòng , chống ô_nhiễm nguồn nước sinh_hoạt .",0.817
42127_1_1_1_2_0_19,Ô_nhiễm nguồn nước,"sự thay_đổi tính_chất vật_lý , tính_chất hoá_học , thành_phần sinh_học của nước vi_phạm tiêu_chuẩn cho phép .",0.87
42679_1_1_1_2_0_6,Kiểm_định chất_lượng_giáo_dục trường,hoạt_động đánh_giá mức_độ đáp_ứng các tiêu_chuẩn đánh_giá chất_lượng_giáo_dục do Bộ Giáo_dục và Đào_tạo quy_định đối_với trường ở từng trình_độ đào_tạo .,0.828
83188_1_1_1_1_0_5,Tác_giả sáng_kiến,người trực_tiếp tạo ra sáng_kiến bằng chính lao_động sáng_tạo của mình .,0.806
73416_1_1_1_3_0_15,Giải_pháp quản_lý,"cách_thức tác_động của chủ_thể quản_lý lên các đối_tượng quản_lý nhằm đạt được những mục_đích nhất_định trong công_việc thuộc bất_kỳ lĩnh_vực hoạt_động nào , bao_gồm :",0.822
100409_1_1_1_2_0_6,Quy_hoạch phân khu,"việc phân_chia và xác_định chức_năng , chỉ_tiêu sử_dụng đất quy_hoạch đô_thị của các khu đất , mạng_lưới công_trình hạ_tầng kỹ_thuật , công_trình hạ_tầng xã_hội trong một khu_vực đô_thị nhằm cụ_thể_hoá nội_dung quy_hoạch chung .",0.801
67167_1_1_1_3_0_3,Nợ và tài_sản loại_trừ,"các khoản nợ và tài_sản không tính vào giá_trị doanh_nghiệp sắp_xếp , chuyển_đổi sở_hữu , được cơ_quan có thẩm_quyền phê_duyệt trong quyết_định_giá_trị doanh_nghiệp và thuộc đối_tượng bàn_giao về Công_ty Mua_bán nợ theo quy_định về sắp_xếp , chuyển_đổi doanh_nghiệp do Nhà_nước sở_hữu 100 % vốn_điều_lệ .",0.856
26257_1_1_1_4_0_3,Bệnh_Niu-cát-xơn,"bệnh truyền_nhiễm nguy_hiểm ở loài cầm ( gà , các loại chim ) , ở mọi lứa tuổi đều có_thể mắc bệnh , bệnh thường ghép với nhiều bệnh gia_cầm khác gây ra tỷ_lệ chết cao , gây thiệt_hại kinh_tế lớn .",0.815
84141_1_1_1_2_0_6,Cơ_sở chế_biến gỗ,"đơn_vị hoạt_động chế_biến gỗ độc_lập , được thành_lập , đăng_ký kinh_doanh ngành_nghề chế_biến gỗ dưới hình_thức doanh_nghiệp , hợp_tác_xã , tổ_hợp_tác , hộ kinh_doanh cá_thể và đáp_ứng các điều_kiện sản_xuất kinh_doanh chế_biến gỗ theo quy_định của pháp_luật .",0.811
19568_1_1_1_1_0_21,Giá mua,"giá thực_tế ghi trên hoá_đơn , Bảng kê mua hàng hoặc giá bình_quân thực_tế tồn_kho của doanh_nghiệp không bao_gồm thuế và chi_phí thu_mua .",0.825
