mention_id,concept_expression,explain_text,expectation
52528_1_1_1_3_0_22,Cộng_đồng dân_cư,"cộng_đồng người sinh_sống trên cùng địa_bàn thôn , làng , ấp , bản , buôn , phum , sóc , tổ dân_phố và điểm dân_cư .",0.853
68114_1_1_1_3_0_4,Rủi_ro thị_trường,khả_năng xảy ra tổn_thất về nợ công do biến_động lãi_suất và tỷ_giá trên thị_trường tài_chính .,0.858
63061_1_1_1_3_0_27,Tái sử_dụng chất_thải,việc sử_dụng lại chất_thải một_cách trực_tiếp hoặc sau khi sơ_chế mà không làm thay_đổi tính_chất của chất_thải .,0.854
17018_1_1_1_3_0_6,Đường_sắt đô_thị,"đường_sắt phục_vụ cho nhu_cầu đi_lại hàng ngày của hành_khách ở thành_phố , vùng phụ_cận .",0.845
25754_1_1_1_2_0_15,"Nghiệm_thu đề_tài , dự_án SXTN","quá_trình đánh_giá kết_quả thực_hiện của đề_tài , dự_án SXTN so với đề_cương đã được phê_duyệt và hợp_đồng đã được ký_kết .",0.872
14645_1_1_1_3_0_8,Chứng_thư số có hiệu_lực,"chứng_thư số chưa hết hạn , không bị tạm dừng hoặc bị thu_hồi .",0.878
28078_1_1_1_3_0_5,Cơ_quan có liên_quan gây ra thiệt_hại,cơ_quan có người thi_hành hành công_vụ có hành_vi trái pháp_luật gây thiệt_hại trong quản_lý hành_chính .,0.785
53968_1_1_1_2_0_7,Kiến_nghị,"việc tổ_chức , cá_nhân có phản_ánh với cơ_quan hành_chính nhà_nước và đề_xuất phương_án xử_lý khác với quy_định hành_chính hoặc có sáng_kiến ban_hành mới quy_định hành_chính liên_quan đến hoạt_động kinh_doanh , đời_sống nhân_dân .",0.877
50684_1_1_1_3_0_4,Bến khách ngang_sông,bến thủy nội_địa chuyên phục_vụ vận_tải hành_khách ngang_sông .,0.866
101974_1_1_1_2_0_39,Chương_trình kiểm_tra,một chương_trình dùng để tự_động hóa_việc thực_hiện các thủ_tục kiểm_tra .,0.823
31031_1_1_1_3_0_11,Kiểm_soát đặc_biệt,"việc một tổ_chức_tín_dụng bị đặt dưới sự kiểm_soát trực_tiếp của Ngân_hàng Nhà_nước do có nguy_cơ mất khả_năng chi_trả hoặc có nguy_cơ mất khả_năng thanh_toán bắt_nguồn từ việc quản_trị , điều_hành yếu_kém .",0.854
128676_1_1_1_3_0_4,Sản_phẩm đặc_biệt,"sản_phẩm có cùng đặc_tính vật_lý , hóa_học như hàng_hóa tương_tự , hàng hóa cạnh trạnh trực_tiếp được sản_xuất trong nước nhưng có một_số đặc_điểm , hình_dạng bên ngoài hoặc chất_lượng sản_phẩm khác_biệt so với hàng_hóa tương_tự , hàng hóa cạnh_tranh trực_tiếp được sản_xuất trong nước .",0.831
