mention_id,concept_expression,explain_text,expectation
32833_1_1_1_3_0_40,Giá đất,giá_trị của quyền sử_dụng đất tính trên một đơn_vị diện_tích đất .,0.735
18132_1_1_1_4_0_14,Đô_thị du_lịch,đô_thị có lợi_thế phát_triển du_lịch và du_lịch có vai_trò quan_trọng trong hoạt_động của đô_thị .,0.72
27661_1_1_1_3_0_34,Thành_viên thị_trường điện,đơn_vị tham_gia vào các hoạt_động giao_dịch hoặc cung_cấp dịch_vụ trên thị_trường điện quy_định tại Điều 2 Thông_tư 18/2010 / TT-BCT .,0.787
102983_1_1_1_3_0_25,"Ngưỡng đường cất , hạ_cánh","nơi bắt_đầu của phần đường cất , hạ_cánh dùng cho tàu_bay hạ_cánh .",0.743
70584_1_1_1_3_0_17,Phụ_lục I,"danh_mục những loài động_vật , thực_vật hoang_dã bị đe_dọa tuyệt_chủng , nghiêm_cấm xuất_khẩu , nhập_khẩu , tái_xuất_khẩu , nhập_nội từ biển và quá_cảnh mẫu_vật từ tự_nhiên vì mục_đích thương_mại .",0.808
121171_1_1_1_2_0_8,Hệ_thống công_trình thuỷ_lợi liên huyện,"hệ_thống công_trình thuỷ_lợi có liên_quan hoặc phục_vụ tưới , tiêu , cấp_nước cho tổ_chức , cá_nhân hưởng lợi thuộc 2 huyện hoặc đơn_vị hành_chính tương_đương trở lên ;",0.767
32212_1_1_1_2_0_18,Chất_thải nguy_hại,"chất_thải chứa yếu_tố độc_hại , phóng_xạ , dầu và hợp_chất có dầu , chất dễ cháy , dễ nổ , dễ ăn_mòn , dễ lây_nhiễm , gây ngộ_độc hoặc đặc_tính gây nguy_hại khác .",0.829
72925_1_1_1_2_0_7,Chợ,"nơi diễn ra các hoạt_động trao_đổi , mua_bán hàng_hoá , các sản_phẩm nông_nghiệp , lâm_nghiệp , tiểu thủ_công_nghiệp . . .",0.386
14114_1_1_1_2_0_35,Điểm_đấu n ối,các điểm xả nước của các hộ thoát_nước vào hệ_thống thoát_nước .,0.78
117354_1_1_1_2_0_18,Bán_lẻ trái_phiếu,phương_thức phát_hành_trái_phiếu mà doanh_nghiệp phát_hành trực_tiếp bán trái_phiếu cho từng đối_tượng mua trái_phiếu .,0.833
86180_1_1_1_2_0_5,Dự_án BOT nhà_máy nhiệt_điện,dự_án nhà_máy nhiệt_điện đầu_tư theo hình_thức hợp_đồng BOT .,0.748
58786_1_1_1_1_0_10,Luật_Doanh_nghiệp,Luật_Doanh_nghiệp số 60/2005 / QH11 ngày 29 tháng 11 năm 2005 .,0.817
120738_1_1_1_4_0_7,Phần ngầm của các công_trình xây_dựng,"một bộ_phận cố_định của nhà , bao_gồm tầng hầm ( nếu có ) và các bộ_phận của công_trình xây_dựng nằm dưới mặt_đất .",0.754
37056_1_1_1_3_0_16,Vận_tải trung_chuyển hành_khách,"hoạt_động vận_tải do các doanh_nghiệp , hợp_tác_xã kinh_doanh vận_tải hành_khách theo tuyến cố_định tổ_chức để đón hành_khách đến bến_xe , điểm đón , trả khách theo tuyến hoặc ngược_lại .",0.772
46088_1_1_1_2_0_6,Chủ đầu_tư,"chủ đầu_tư các dự_án nhà_máy nhiệt_điện có thiết_bị phụ được giao thực_hiện thiết_kế , chế_tạo trong nước theo quy_định tại khoản 1 Điều 3 của Thông_tư này .",0.74
17067_1_1_1_4_0_16,Giao_dịch điện_tử tự_động,giao_dịch điện_tử được thực_hiện tự_động từng phần hoặc toàn_bộ thông_qua hệ_thống thông_tin đã được thiết_lập sẵn .,0.312
